name,areas,is_boss,data_type,enemy_type,initial_status,hp,pp,offense,defense,speed,guts,exp_reward,money_reward,drop_item,drop_chance,battle_tip,resistance_name,resistance_type,resistance_value,ability_name,ability_target,ability_aoe,ability_effect
Hard Crocodile,Deep Darkness,FALSE,profile,normal,,522,0,110,128,23,10,19484,692,Super Plush Bear,2/128,,,,,,,,
High-class UFO,Scaraba,FALSE,profile,metallic,PSI Shield β,433,72,93,103,60,15,12385,456,Skip Sandwich DX,4/128,,,,,,,,
Hostile Elder Oak,Deep Darkness,FALSE,profile,normal,,609,76,134,146,14,11,17567,690,Viper,16/128,,,,,,,,
Hyper Spinning Robo,Lumine Hall,FALSE,profile,metallic,,553,83,122,130,28,5,28866,756,Meteotite,1/128,,,,,,,,
Insane Cultist,Happy Happy Village,FALSE,profile,normal,,94,0,19,25,8,20,353,33,PSI Caramel,1/128,,,,,,,,
Kiss of Death,Pink Cloud,FALSE,profile,normal,,333,0,91,100,19,7,10354,528,Jar of Delisauce,2/128,,,,,,,,
Lesser Mook,Dungeon Man/Winters,FALSE,profile,normal,,401,190,76,102,17,7,7640,467,PSI Caramel,2/128,,,,,,,,
Lethal Asp Hieroglyph,Pyramid,FALSE,profile,normal,,458,0,89,94,21,5,11321,625,Pharaoh's Curse,4/128,,,,,,,,
Li'l UFO,Peaceful Rest Valley,FALSE,profile,metallic,,82,0,18,17,53,13,223,14,Skip Sandwich,4/128,,,,,,,,
Loaded Dice,Magicant,FALSE,profile,normal,,307,0,146,113,77,75,10672,703,PSI Caramel,4/128,,,,,,,,
Mad Duck,Winters/Saturn Valley Area/Desert Gold Mine,FALSE,profile,normal,,51,0,12,24,30,5,41,12,Fresh Egg,8/128,,,,,,,,
Mad Taxi,Fourside/Summers Area,FALSE,profile,metallic,,253,0,53,68,38,5,2336,216,Xterminator Spray,1/128,,,,,,,,
Major Psychic Psycho,Fire Spring,FALSE,profile,normal,,618,574,145,152,31,1,39247,862,Star Pendant,1/128,,,,,,,,
Manly Fish,Deep Darkness,FALSE,profile,normal,,500,0,83,114,22,9,15826,624,Beef Jerky,4/128,,,,,,,,
Manly Fish's Brother,Deep Darkness,FALSE,profile,normal,,526,210,114,123,24,11,15970,686,Horn of Life,1/128,,,,,,,,
Marauder Octobot,Scaraba,FALSE,profile,metallic,,482,0,99,121,23,8,14475,499,,,,,,,,,,
Master Criminal Worm,Scaraba,FALSE,profile,insect,,377,300,73,40,136,0,82570,0,,,,,,,,,,
Mechanical Octobot,Onett (Invaded),FALSE,profile,metallic,,768,0,147,176,43,8,41738,744,Meteotite,1/128,,,,,,,,
Mighty Bear,Lilliput Steps,FALSE,profile,normal,,167,0,29,31,7,1,609,49,Teddy Bear,2/128,,,,,,,,
Mighty Bear Seven,Winters,FALSE,profile,normal,,367,0,85,76,11,1,8884,440,Super Plush Bear,1/128,,,,,,,,
Military Octobot,Stonehenge,FALSE,profile,metallic,,604,0,138,147,26,8,25607,637,Meteotite,1/128,,,,,,,,
Mobile Sprout,Twoson/Peaceful Rest Valley,FALSE,profile,normal,,79,9,17,12,6,5,133,13,Croissant,4/128,,,,,,,,
Mole Playing Rough,Lilliput Steps/Dusty Dunes Desert/Summers Area,FALSE,profile,normal,,103,0,22,28,9,2,456,36,Croissant,4/128,,,,,,,,
Mook Senior,Stonehenge,FALSE,profile,normal,,501,700,108,122,25,7,21056,715,PSI Caramel,4/128,,,,,,,,
Mostly Bad Fly,Belch's Factory,FALSE,profile,insect,,141,0,32,16,15,4,1116,84,Pizza,4/128,,,,,,,,
Mr. Batty,Lilliput Steps,FALSE,profile,normal,,86,0,25,5,29,4,304,30,Jar of Hot Sauce,2/128,,,,,,,,
Mr. Molecule,Magicant,FALSE,profile,normal,Can't concentrate,280,21,118,97,18,5,8708,659,Magic Tart,2/128,,,,,,,,
Musica,Fourside Dept. Store,FALSE,profile,normal,,292,0,69,85,21,20,3748,341,Sudden Guts Pill,1/128,,,,,,,,
Mystical Record,"Fourside Dept. Store,Dungeon Man",FALSE,profile,normal,,263,35,63,78,20,12,2736,310,Pizza,2/128,,,,,,,,
New Age Retro Hippie,Twoson,FALSE,profile,normal,,87,0,19,14,5,10,160,23,Ruler,8/128,,,,,,,,
No Good Fly,Threed,FALSE,profile,insect,,100,0,23,13,10,3,415,26,Boiled Egg,4/128,,,,,,,,
Noose Man,Desert Gold Mine,FALSE,profile,normal,,231,0,47,52,18,5,1990,220,Carton of Cream,16/128,,,,,,,,
Nuclear Reactor Robot,Cave of the Past,FALSE,profile,metallic,,798,0,142,185,46,8,53142,820,Super Bomb,16/128,,,,,,,,
Over Zealous Cop,Summers Area,FALSE,profile,normal,,325,0,69,75,18,7,7448,420,Double Burger,4/128,,,,,,,,
Petrified Royal Guard,Pyramid,FALSE,profile,normal,,573,0,106,173,12,5,19163,628,Sudden Guts Pill,4/128,,,,,,,,
Pit Bull Slug,Deep Darkness,FALSE,profile,insect,Can't concentrate,217,11,79,77,2,5,9994,543,Salt Packet,32/128,,,,,,,,
Plain Crocodile,Saturn Valley Area,FALSE,profile,normal,,234,0,40,55,10,1,1928,62,Meteornium,1/128,,,,,,,,
Pogo Punk,Onett,FALSE,profile,normal,,35,0,8,10,3,0,15,18,Hamburger,128/128,,,,,,,,
Psychic Psycho,Fire Spring,FALSE,profile,normal,,591,252,124,144,30,1,30094,682,PSI Caramel,4/128,,,,,,,,
Putrid Moldyman,Threed,FALSE,profile,normal,,203,0,36,41,9,5,830,53,Croissant,4/128,,,,,,,,
Ramblin' Evil Mushroom,Onett/Twoson,FALSE,profile,normal,,60,0,15,10,5,5,95,15,Ketchup Packet,8/128,,,,,,,,
Ranboob,Milky Well,FALSE,profile,normal,,232,42,41,63,20,1,2486,158,Picnic Lunch,2/128,,,,,,,,
Red Antoid,Saturn Valley Area,FALSE,profile,insect,,112,30,29,27,10,4,1175,35,Sugar Packet,16/128,,,,,,,,
Robo-pump,Moonside,FALSE,profile,metallic,,431,0,70,113,19,5,4797,349,Super Bomb,2/128,,,,,,,,
Rowdy Mouse,Giant Step/Winters,FALSE,profile,normal,,36,0,7,20,5,225,34,9,Bread Roll,4/128,,,,,,,,
Runaway Dog,Onett/Winters,FALSE,profile,normal,,21,0,4,5,26,0,4,3,Bread Roll,4/128,,,,,,,,
Scalding Coffee Cup,"Fourside Dept. Store,Dungeon Man",FALSE,profile,normal,,190,0,55,20,23,5,2462,280,Cup of Coffee,64/128,,,,,,,,
Sentry Robot,Monotoli Building,FALSE,profile,metallic,,372,0,77,105,17,10,5034,392,Big Bottle Rocket,2/128,,,,,,,,
Shattered Man,Summers Area,FALSE,profile,normal,,694,0,104,138,18,25,44690,2630,Mummy Wrap,64/128,,,,,,,,
Skate Punk,Onett,FALSE,profile,normal,,31,0,7,8,5,0,12,17,Pizza,1/128,,,,,,,,
Skelpion,Dusty Dunes Desert,FALSE,profile,insect,,137,21,41,23,37,80,1823,140,Vial of Serum,4/128,,,,,,,,
Slimy Little Pile,Belch's Factory,FALSE,profile,normal,,224,0,42,61,15,7,1978,124,Bomb,4/128,,,,,,,,
Smelly Ghost,Threed,FALSE,profile,normal,,194,50,35,89,10,2,606,71,Broken Iron,8/128,,,,,,,,
Smilin' Sam,Threed,FALSE,profile,normal,,161,55,34,44,17,16,712,48,Refreshing Herb,4/128,,,,,,,,
Smilin' Sphere,Dusty Dunes Desert,FALSE,profile,metallic,,233,60,50,65,17,5,2218,191,Meteornium,1/128,,,,,,,,
Soul Consuming Flame,Fire Spring,FALSE,profile,normal,,602,0,131,6,30,14,37618,768,Meteotite,2/128,,,,,,,,
Spinning Robo,Peaceful Rest Valley,FALSE,profile,metallic,,113,17,21,22,7,5,297,21,Meteornium,2/128,,,,,,,,
Spiteful Crow,Onett/Happy Happy Village/Winters,FALSE,profile,normal,,24,0,5,3,77,0,3,5,Cookie,128/128,,,,,,,,
Squatter Demon,Cave of the Past,FALSE,profile,normal,,774,60,158,192,45,25,48311,897,Horn of Life,2/128,,,,,,,,
Starman,Stonehenge,FALSE,profile,normal,,545,155,103,126,24,25,23396,720,Brain Food Lunch,1/128,,,,,,,,
Starman Super,Stonehenge,FALSE,profile,normal,PSI Shield β,568,310,112,129,24,25,30145,735,Sword of Kings,1/128,,,,,,,,
Stinky Ghost,Fourside Sewers,FALSE,profile,normal,,444,0,90,179,18,4,13179,541,Large Pizza,2/128,,,,,,,,
Strong Crocodile,Rainy Circle,FALSE,profile,normal,,417,0,85,131,17,5,10122,495,Super Bomb,2/128,,,,,,,,
Struttin' Evil Mushroom (1),Winters,FALSE,profile,normal,,60,0,15,10,5,5,95,15,Cookie,64/128,,,,,,,,
Struttin' Evil Mushroom (2),Milky Well/Monkey Caves,FALSE,profile,normal,,157,0,29,22,28,7,1492,95,Rust Promoter,8/128,,,,,,,,
Tangoo,Pink Cloud,FALSE,profile,normal,,371,5,96,99,19,20,14718,572,Snake,16/128,,,,,,,,
Territorial Oak,Peaceful Rest Valley,FALSE,profile,normal,,145,41,26,30,5,9,356,29,PSI Caramel,1/128,,,,,,,,
Thirsty Coil Snake,Desert Gold Mine,FALSE,profile,normal,,270,0,52,80,18,5,2786,276,Chick,8/128,,,,,,,,
Thunder Mite,Pink Cloud,FALSE,profile,normal,,299,200,85,83,20,13,10798,430,Bottle of Water,4/128,,,,,,,,
Tiny Li'l Ghost,Threed,FALSE,profile,normal,,90,0,19,7,100,25,1,162,Nothing,0/128,,,,,,,,
Tough Guy,Summers Area,FALSE,profile,normal,,342,0,72,92,18,20,9310,525,Chick,32/128,,,,,,,,
Tough Mobile Sprout,Milky Well/Monkey Caves,FALSE,profile,normal,,179,13,33,27,18,6,1865,119,Sprig of Parsley,8/128,,,,,,,,
Trick or Trick Kid,Threed,FALSE,profile,normal,,142,0,30,37,7,12,570,47,Bomb,4/128,,,,,,,,
Ultimate Octobot,Cave of the Past,FALSE,profile,metallic,,792,0,163,181,44,8,47876,815,PSI Caramel,16/128,,,,,,,,
Unassuming Local Guy,Twoson/Happy Happy Village,FALSE,profile,normal,,73,0,18,13,5,1,145,19,Toothbrush,16/128,,,,,,,,
Uncontrollable Sphere,Lumine Hall/Magicant,FALSE,profile,metallic,PSI Shield α,577,180,116,134,27,5,20389,796,Broken Antenna,1/128,,,,,,,,
Urban Zombie,Threed,FALSE,profile,normal,,171,0,31,24,10,15,700,58,Hamburger,4/128,,,,,,,,
Violent Roach,Saturn Valley Area,FALSE,profile,insect,,209,0,30,26,35,9,1757,80,Secret Herb,1/128,,,,,,,,
Wetnosaur,Lost Underworld,FALSE,profile,normal,,1030,0,126,172,17,2,33098,745,Luxury Jerky,2/128,,,,,,,,
Whirling Robo,Winters,FALSE,profile,metallic,,374,36,78,90,18,5,5782,256,Meotite,1/128,,,,,,,,
Wild 'n Wooly Shambler,Cave of the Past,FALSE,profile,metallic,,722,212,144,171,38,5,33818,906,Multi Bottle Rocket,8/128,,,,,,,,
Wooly Shambler,Winters,FALSE,profile,metallic,,391,140,81,91,18,5,5397,458,Multi Bottle Rocket,2/128,,,,,,,,
Worthless Protoplasm,Winters/Dungeon Man,FALSE,profile,normal,,38,0,11,21,27,0,17,11,Cookie,32/128,,,,,,,,
Yes Man Junior,Onett,FALSE,profile,normal,,33,0,8,9,4,0,13,18,Bag of Fries,4/128,,,,,,,,
Zap Eel,Deep Darkness,FALSE,profile,normal,,370,0,97,93,29,5,12170,611,PSI Caramel,2/128,,,,,,,,
Zombie Dog,Threed,FALSE,profile,normal,,210,0,39,51,30,10,1354,54,Bottle Rocket,4/128,,,,,,,,
Zombie Possessor,Threed,FALSE,profile,normal,,176,0,28,19,30,9,950,81,Secret Herb,2/128,,,,,,,,
Boogey Tent,Threed,TRUE,profile,normal,,579,56,43,69,10,16,5500,407,,,Have Paula use her highest PSI Fire to defeat quickly before it kills off weaker party members.,,,,,,,
Captain Strong,Onett,TRUE,profile,normal,,140,0,20,24,15,8,492,159,Boiled Egg,4/128,Captain Strong's submission hold is powerful; do not let your HP drop below about 40 at any point. Have plenty of hamburgers available so you can use your PSI to finish him off with a shot or two of Rockin α.,,,,,,,
Carbon Dog,Fire Spring,TRUE,profile,normal,,1672,0,159,174,31,52,0,0,,,"Paula or Jeff should have the Flame pendant equipped. Use PSI Rockin, PSI Freeze, bazookas, and PSI Starstorm. Be ready to use Lifeup, and try to keep everybody's HP as close to full as possible.",,,,,,,
Clumsy Robot,Monotoli Building,TRUE,profile,metallic,PSI Shield α,962,0,88,137,83,30,32378,2081,,,"The Clumsy Robot's dizzy missile attack is the only one to worry about; keep your HP above about 120 and you should be okay. He starts with a PSI shield, so be sure to have Jeff use the Neutralizer if you plan on using PSI Rockin. Otherwise, just use your normal attacks.",,,,,,,
Department Store Spook,Fourside Dept. Store,TRUE,profile,normal,,610,290,82,135,19,24,24291,1648,,,Use Ness's highest level of PSI Rockin and any bottle rockets Jeff may have.,,,,,,,
Diamond Dog,Fire Spring,TRUE,profile,normal,PSI Shield α,3344,154,167,230,31,10,337738,6968,,,"Ness should have the Night pendant or Star pendant equipped, and Paula and Jeff should have Star pendants equipped if you have them.

Use Jeff's Neutralizer to take down the Diamond Dog's psychic shield. Use your best offensive PSI and any bottle rockets you may have against Diamond Dog. Keep everyone's HP above 150 if possible.",,,,,,,
Electro Specter,Lumine Hall,TRUE,profile,normal,PSI Shield β,3092,80,148,203,29,47,261637,6564,,,"Be sure Paula has the Franklin Badge. On your first turn, use Jeff's Neutralizer to take down the Electro Specter's psychic shield. Use PSI Rockin, PSI Fire or PSI Freeze, bottle rockets or bazookas, and PSI Starstorm.",,,,,,,
Everdred,Twoson,TRUE,profile,normal,,182,0,25,35,6,10,986,171,,,"Everdred is not horribly difficult. You can use Rockin α on him if you want, but you'll probably be okay with just bashing him.",,,,,,,
Evil Mani Mani,Moonside,TRUE,profile,normal,,860,88,86,145,15,1,28139,1852,,,Have Ness equip the Night Pendant before this battle. Use PSI Rockin and bottle rockets as necessary.,,,,,,,
Frank,Onett,TRUE,profile,normal,,63,0,12,17,7,5,50,48,,,"Keep your HP above 30 to help you survive his knife attack. Bash him and use Rockin α if you have the PP, but remember to conserve some PP for healing when fighting Frankystein Mark II if you don't have any hamburgers.",,,,,,,
Frankystein Mark II,Onett,TRUE,profile,metallic,,91,0,15,18,4,0,76,31,,,"Frankystein Mark II will only attack every other turn. Thus, you should probably follow an attack and heal pattern. Attack Frankystein Mark II right before he attacks, and if he's done enough damage to you, heal the next turn.",,,,,,,
Giygas Stage 1,Cave of the Past,TRUE,profile,metallic,,9999,999,255,255,80,5,0,0,,,"Giygas (Stage 1) is essentially invulnerable for this part of the battle. In fact, he will reflect any damage you do back to him, so don't use a shield that reflects damage. Focus all your attacks on Heavily Armed Pokey. Once you defeat him, the battle will progress to Giygas (Stage 2).",,,,,,,
Giygas Stage 2,Cave of the Past,TRUE,profile,normal,,2000,0,255,255,80,5,0,0,,,"Use your most powerful offensive PSI attacks and bottle rockets. Keep your HP above 200 at all times. Once you defeat Giygas (Stage 2), you will proceed to Giygas (Stage 3, unstable).",,,,,,,
Giygas Stage 3,Cave of the Past,TRUE,profile,normal,,9999,0,255,127,80,5,0,0,,,The only way to defeat the final stage of Giygas is by using Paula's Pray command. She must pray a total of nine times during the final stage of the battle. The purpose of everybody else in your party for this stage should be to keep Paula alive.,,,,,,,
Guardian Digger,Desert Gold Mine,TRUE,profile,normal,PSI Shield α,386,110,59,129,17,21,17301,1467,,,"Ideally, Paula should be at a high enough level to use PSI Freeze γ before entering the gold mine. The Guardian Digger has a power shield, so half of your first three physical attacks will reflect back at you; as such, it is best to have Ness and Jeff defend through this battle. Have Paula use PSI Freeze γ, and if that doesn't kill the Guardian Digger in one hit, follow it up with a shot of PSI Freeze α.",,,,,,,
Guardian General,Pyramid,TRUE,profile,normal,,831,6,109,214,21,1,95390,3235,,,Use PSI Fire and your standard attacks. Try to keep your HP above 100.,,,,,,,
Heavily Armed Pokey,Cave of the Past,TRUE,profile,metallic,,2000,999,145,255,60,5,0,0,,,"Use your most powerful PSI Freeze, bottle rockets, and standard attacks. Keep your HP above 200.",,,,,,,
Kraken,Summers Area/Sea of Eden,TRUE,profile,normal,,1097,176,105,166,21,1,79267,3049,,,"The first time you fight the Kraken (with everybody), he will be a reasonably difficult enemy. Go all out with PSI and bottle rocket attacks.

When you fight Krakens again in the Sea of Eden (with only Ness), they won't be nearly as difficult. Just use your standard attack.",,,,,,,
Master Barf,Deep Darkness,TRUE,profile,normal,,1319,0,136,177,24,39,125056,3536,Casey Bat,128/128,"Use your standard attacks until you start crying; once you start crying, use PSI Rockin, PSI Fire, and whatever bottle rockets or bazookas you have. Wait until after the battle to heal nausea, and keep your HP above 110 if possible.",,,,,,,
Master Belch,Belch's Factory,TRUE,profile,normal,,650,0,50,88,16,20,12509,664,,,"You must use the Jar of Fly Honey on Master Belch to defeat him. Once you do so, he's not a dangerous enemy. Have Ness heal nausea as necessary, and have Paula use PSI Fire or PSI Freeze on Master Belch.",,,,,,,
Mini Barf,Threed,TRUE,profile,normal,,616,0,45,71,10,19,7521,460,,,"The Mini Barf wouldn't be too hard of an enemy if it didn't have the ability to make everybody cry. Bash him until he makes everyone cry. After everyone is crying, your accuracy with physical weapons will be horrible, so have Paula use her highest PSI Fire attack as many times as necessary and have Ness and Jeff simply attack.",,,,,,,
Mondo Mole,Lilliput Steps,TRUE,profile,normal,,498,161,37,50,9,15,5791,400,,,"This is one of the easiest sanctuary bosses, if you approach it correctly. All you have to do is use Paralysis α. After this he cannot attack you for the duration of battle; feel free to defeat him however you wish.",,,,,,,
Mr. Carpainter,Happy Happy Village,TRUE,profile,normal,,262,70,33,45,8,13,1412,195,,,"You must have the Franklin Badge in your inventory to battle him. Once you have it, though, this is not a tough battle. It will reflect all lightning attacks, and all his other attacks are weak. Bash him until he dies.",,,,,,,
Ness's Nightmare,Sea of Eden,TRUE,profile,normal,PSI Shield α,1654,882,172,253,31,1,89004,4442,,,"Ness's Nightmare has a deadly ""Glorious light"" attack which is actually a form of PSI Flash. As such, you should have some sort of protection against Flash (Night Pendant, Sea Pendant, Star Pendant) before entering this battle. (The only pendant available in Magicant is the Earth Pendant, which only offers 50% protection, so you'll want to make sure Ness has the correct pendant before defeating your eighth sanctuary guardian and entering Magicant. If you don't, however, 50% is better than nothing.)

By this point in the game, Ness already has a large number of hit points, so even if he is mortally wounded, he has enough time to cast Lifeup before his HP meter rolls to zero. Thus, the easiest way to defeat Ness's Nightmare is to be sure to have 100% Flash protection, and use Auto Fight.",,,,,,,
Plague Rat of Doom,Fourside Sewers,TRUE,profile,normal,,1827,60,71,180,19,250,115272,4464,,,"Use PSI Rockin, PSI Fire, and bottle rockets. Don't let your HP drop below 100.",,,,,,,
Shrooom!,Rainy Circle,TRUE,profile,normal,,1700,112,95,154,18,32,96323,4086,,,"Shrooom! doesn't do much damage. However, he does have a good chance of mushroomizing at least some of your party. The main rule here is to never use offensive PSI or bottle rockets when you're mushroomized. Have Ness use PSI Rockin, Paula use PSI Fire, and Jeff use bottle rockets until they get mushroomized. After that, use standard attacks. Never let your HP get low as you can't guarantee that you will Lifeup the correct person once you've been mushroomized.",,,,,,,
Starman Deluxe,Stonehenge,TRUE,profile,normal,PSI Shield β,1400,418,143,186,27,43,160524,3827,,,"On your first turn, use Jeff's Neutralizer to take down the Starman Deluxe's psychic shield. Have everybody else use their standard attacks.

On your second turn, have Paula cast PSI Shield Σ. Have Ness use PSI Rockin, Jeff use bottle rockets or a bazooka, and Poo use PSI Starstorm.

After this, have Ness use PSI Rockin, Paula use PSI Fire, Jeff use bottle rockets or bazookas, and Poo use Starstorm until the Starman Deluxe puts a psychic shield back up. Use Lifeup and recast PSI Shield Σ as necessary.

Once the Starman Deluxe has his shield back up, have Jeff use bottle rockets or bazookas. Have everybody else use their standard attacks, and use Lifeup and PSI Shield Σ as necessary.

If the Starman Deluxe summons Starmen to the battle, ignore them, as they will be defeated when the Starman Deluxe dies.",,,,,,,
Starman Junior,Onett,TRUE,profile,normal,,200,999,11,10,1,0,16,20,,,"You cannot lose this battle. Buzz-Buzz will protect you, preventing your party from recieving any damage. Just bash the Starman Junior, or put on Auto Fight.",,,,,,,
Thunder and Storm,Pink Cloud,TRUE,profile,normal,,2065,70,111,178,21,35,129026,4736,,,"Be sure Paula has the Franklin Badge. Use PSI Rockin, PSI Freeze or Fire, and bottle rockets.",,,,,,,
